Penalty,C,Mean CV F1
L2,0.001,0.806825877088128
L2,0.01,0.8716375272283617
L2,0.1,0.9216019956408464
L2,1.0,0.9574608440408989
L2,10.0,0.9772478536721259
L2,100.0,0.9884883255428099
L1,0.001,0.8439413200067346
L1,0.01,0.9401008855998725
L1,0.1,0.9511665958645574
L1,1.0,0.9521686234305765
L1,10.0,0.9522144953020277
L1,100.0,0.9522221033245
